               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10408,            0.040803,                   0,            0.023427,              0.3303,            0.028037,           0.0078661,            0.087805,            0.024319,                   0,            0.070769,           0.0032479,           0.0032479
                   1,            0.077471,            0.041384,                   0,             0.21972,             0.25758,             0.14042,            0.048781,            0.074699,            0.024113,                   0,            0.040704,            0.006516,            0.006516
                   2,            0.070764,            0.038696,                   0,             0.23467,             0.23333,              0.1441,            0.062229,            0.080495,            0.019161,                   0,            0.010573,           0.0097182,           0.0097182
                   3,            0.066579,            0.035654,                   0,             0.34278,             0.37273,             0.28782,            0.099224,            0.069186,            0.019379,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.058706,            0.032838,                   0,             0.42639,             0.45502,             0.34904,             0.15335,            0.060068,             0.01794,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.053253,            0.032021,                   0,             0.64334,             0.51212,             0.58639,             0.24282,            0.054214,            0.017695,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.050469,            0.032378,                   0,              0.5398,             0.41212,             0.43405,             0.17659,            0.057565,            0.019504,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.047439,            0.030971,                   0,             0.61299,             0.52798,             0.56475,             0.25717,             0.04885,            0.017746,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.045534,            0.030906,                   0,             0.67598,             0.59427,             0.64171,             0.28969,            0.049551,            0.016936,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.043061,            0.028569,                   0,             0.64153,             0.47879,             0.52773,             0.24393,            0.051123,            0.019677,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.04389,            0.028922,                   0,             0.70371,             0.56061,              0.6215,              0.2723,            0.049313,            0.018025,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041762,            0.029478,                   0,             0.64829,             0.58182,             0.63895,             0.32032,            0.044014,            0.018153,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.040421,            0.026127,                   0,             0.74265,             0.62961,             0.68403,             0.32101,            0.045827,            0.017151,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.038661,            0.028182,                   0,             0.75898,              0.6303,             0.70752,             0.36138,            0.043008,            0.016792,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038581,            0.029021,                   0,              0.7299,             0.55758,             0.63519,             0.31502,            0.046999,            0.018114,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.039506,            0.025314,                   0,             0.78492,             0.64848,             0.73035,             0.38002,            0.043215,            0.016567,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037622,            0.025212,                   0,             0.67191,             0.58957,             0.61617,             0.31294,            0.045589,            0.017784,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.037808,            0.027988,                   0,             0.70537,             0.68485,             0.71483,             0.37138,             0.04303,            0.017051,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038068,            0.025739,                   0,             0.78445,              0.6286,              0.6982,             0.32465,             0.04436,            0.016366,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036337,            0.026086,                   0,             0.70953,             0.66061,             0.71644,             0.37667,            0.041918,            0.016485,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.035617,             0.02448,                   0,              0.7222,             0.66364,             0.71791,             0.40799,             0.03965,            0.016918,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035536,            0.026575,                   0,             0.75139,             0.66364,             0.74383,             0.42325,            0.039407,            0.016179,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035068,            0.025568,                   0,             0.73073,             0.65455,             0.72295,              0.4321,            0.039099,            0.016439,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.034281,            0.025342,                   0,             0.75017,             0.67332,             0.72356,             0.41076,            0.039735,            0.016781,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.032862,            0.025512,                   0,             0.68961,             0.53333,             0.59286,             0.30868,            0.045528,             0.01941,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.03344,            0.024348,                   0,             0.73581,             0.54848,             0.61729,             0.32699,            0.043632,            0.018897,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034235,            0.024424,                   0,             0.65076,             0.47273,             0.50722,             0.24204,            0.050635,            0.019353,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.033897,            0.023472,                   0,             0.72976,             0.63939,             0.69658,             0.39075,            0.038756,            0.017832,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.032473,            0.024332,                   0,             0.81206,             0.68085,             0.75253,             0.43934,            0.038572,            0.016719,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.031581,            0.024245,                   0,             0.73589,             0.63636,             0.69777,              0.3831,            0.041919,            0.018559,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.031576,            0.023232,                   0,             0.72311,             0.65152,             0.71179,              0.4105,             0.03922,            0.017376,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.031962,            0.022065,                   0,             0.75152,             0.63241,             0.70764,             0.41454,            0.040447,            0.017268,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.032009,            0.023499,                   0,             0.78653,             0.65873,             0.75366,             0.44676,            0.038636,            0.016648,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.031044,            0.022205,                   0,             0.75824,             0.66061,             0.72577,             0.40472,            0.041554,            0.016786,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.030052,            0.022191,                   0,             0.74278,             0.70005,             0.76953,             0.44847,            0.038075,            0.016991,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.030969,            0.022096,                   0,             0.78024,             0.65628,             0.72806,             0.42714,            0.040403,             0.01802,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.029925,             0.02342,                   0,             0.77094,             0.63939,             0.70327,             0.41633,             0.03878,             0.01766,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.029784,            0.021567,                   0,             0.83935,             0.61212,              0.7364,             0.42327,            0.039381,             0.01745,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029582,            0.022154,                   0,             0.80593,             0.67955,             0.74616,             0.42031,            0.039792,            0.017401,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.029152,             0.02219,                   0,             0.72776,             0.68045,             0.73991,             0.41415,            0.039748,            0.017512,                   0,            0.006238,            0.006238,            0.006238
